DATE,FAVORITE,SPREAD,UNDERDOG,TOTAL,AWAY MONEY LINE,HOME MONEY LINE
12/16/18 13:00,at Colts,-3,Cowboys,47,157,-167
12/16/18 13:00,at Jaguars,-7,Redskins,36.5,275,-305
12/16/18 13:00,at Bears,-6,Packers,46.5,210,-230
12/16/18 13:00,at Bengals,-3,Raiders,45.5,143,-153
12/16/18 13:00,at Falcons,-9,Cardinals,43.5,355,-400
12/16/18 13:00,at Ravens,-8.5,Buccaneers,44.5,320,-355
12/16/18 13:00,at Bills,-2.5,Lions,39.5,135,-145
12/16/18 13:00,at Vikings,-8,Dolphins,45,310,-340
12/16/18 13:00,Titans,-2.5,at Giants,42,-130,120
12/16/18 16:05,Seahawks,-4,at 49ers,44,-200,185
12/16/18 16:25,Patriots,-2.5,at Steelers,55.5,-135,125
12/16/18 20:20,at Rams,-13.5,Eagles,52.5,640,-810
12/17/18 20:15,Saints,-6,at Panthers,50.5,-235,215
12/22/18 16:30,at Titans,-12,Redskins,38,500,-600
12/22/18 20:20,at Chargers,-4,Ravens,42.5,190,-210
12/23/18 13:00,at Dolphins,-3,Jaguars,39.5,155,-165
12/23/18 13:00,at Patriots,-14,Bills,45,635,-800
12/23/18 13:00,Falcons,-3,at Panthers,46,-148,138
12/23/18 13:00,at Browns,-10,Bengals,44,355,-400
12/23/18 13:00,at Cowboys,-7,Buccaneers,48,295,-325
12/23/18 13:00,Vikings,-6.5,at Lions,42.5,-270,248
12/23/18 13:00,at Colts,-9.5,Giants,48,390,-440
12/23/18 13:00,Packers,-3,at Jets,47,-155,145
12/23/18 13:00,at Eagles,-2,Texans,46.5,112,-122
12/23/18 16:05,Rams,-14,at Cardinals,44,-700,568
12/23/18 16:05,Bears,-3.5,at 49ers,43.5,-185,170
12/23/18 16:25,at Saints,-6.5,Steelers,53.5,245,-265
12/23/18 20:20,Chiefs,-1,at Seahawks,54.5,-112,102
12/24/18 20:15,Broncos,-1.5,at Raiders,42.5,-123,113
12/30/18 13:00,at Packers,-7.5,Lions,44.5,280,-310
12/30/18 13:00,at Texans,-7,Jaguars,39.5,275,-305
12/30/18 13:00,at Patriots,-13.5,Jets,46.5,635,-800
12/30/18 13:00,at Saints,-7.5,Panthers,41.5,295,-325
12/30/18 13:00,at Giants,-7.5,Cowboys,38.5,280,-310
12/30/18 13:00,at Bills,-5.5,Dolphins,39.5,220,-240
12/30/18 13:00,Falcons,-2.5,at Buccaneers,52,-140,130
12/30/18 16:25,Chargers,-6.5,at Broncos,43.5,-290,260
12/30/18 16:25,at Ravens,-7,Browns,41,260,-290
12/30/18 16:25,Eagles,-6,at Redskins,43,-240,220
12/30/18 16:25,at Steelers,-13.5,Bengals,46,575,-710
12/30/18 16:25,at Seahawks,-15,Cardinals,40,675,-860
12/30/18 16:25,at Chiefs,-14,Raiders,53,700,-900
12/30/18 16:25,at Rams,-10.5,49ers,50,390,-440
12/30/18 16:25,at Vikings,-5.5,Bears,39.5,215,-235
12/30/18 20:20,Colts,-5.5,at Titans,42.5,-235,215
